job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
C/C++,https://www.lagou.com/jobs/6104298.html,岳麓区,12k-24k,北京惠而特科技有限公司,5-10年,本科,带薪年假，年终奖金，交通补助，定期团建,"技能要求：Linux C，Python，C++工作职责：1、参与公司安全产品的需求调研与分析；2、负责公司软件架构和设计；3、负责公司安全产品功能模块的设计、开发和测试；4、负责公司安全产品相关功能模块的维护；5、调研新技术，评估并验证应用到公司相关产品的可行性。6、按照产品开发计划，与部门成员及其他部门协同工作，在保证质量的前提下，按时完成任务；任职要求：任职要求：0、计算机、自动化、软件工程等相关专业毕业，不低于5年的开发工作经验。1、熟悉Linux C/C++开发。2、熟悉基本数据结构和算法，良好的计算机基础。3、熟悉计算机网络基础和各种网络协议（http, telnet, ftp, snmp, smtp 等等）。4、熟练使用一种以上脚本语言（譬如shell, awk, sed, python，lua等）。5、熟练使用程序调试方法和工具（gdb等） 。6、有python/go开发经验优先；7、有数通研发经验优先；8、有DPDK用户态开发经验优先；9、工作积极主动有担当，学习能力强，良好的团队协作能力和敬业精神。","信息安全,软件开发",50-150人,go,长沙
PHP高级开发工程师,https://www.lagou.com/jobs/6934977.html,岳麓区,10k-15k,湖南映客互娱网络信息有限公司,3-5年,本科,周末双休，五险一金，交补，餐补，,岗位职责：1.负责直播及电商服务的架构设计和开发;2.分析现有服务架构的性能瓶颈，并进行重构和优化;3.系统性能优化，安全加固，保证网站安全、稳定、快速运行；任职资格：1、三年以上PHP开发经验，熟练go、计算机相关专业优化；2、对缓存、队列、存储、网络、代理、配置等各种服务端开源方案有充分了解和实践；3、具备高可用、高性能、高并发、高扩展系统设计经验，对亿级以上PV的系统架构设计有深刻理解；4、至少精通一门语言，精通多线程编程，熟悉分布式服务开发，熟悉异步编程或函数式编程；5、GitHub 使用者、有开源项目贡献者优先考虑；6、具备大型网站架构经验的优先考虑;7、有千万级同时在线即时通讯相关架构和开发经验者优先。,"移动互联网,社交",150-500人,go,长沙
网络工程师,https://www.lagou.com/jobs/6943811.html,开福区,10k-15k,湖南快乐阳光互动娱乐传媒有限公司,1-3年,本科,上市公司 福利待遇好 工作氛围好,岗位职责：1、负责省内外运营商合作项目网络架构的方案设计，实施、调测和后期运维工作，制定网络规范，确保网络质量满足公司战略和业务的发展需要。2、参与网络新业务的开发和设计，网络新技术研究和测试3、面向内部服务器运维以及研发人员提供网络解决方案咨询和技术支持4、协助解决网络业务和运营中发现的问题，提出优化改进建议。岗位要求：1、需具备扎实的网络项目施工经验，精通TCP/IP协议，交换，路由，组播、网络安全和VPN技术2了解NFV、SDN、VXLAN等网络新技术。3、掌握一定的用户接入网技术，了解IPTV网络架构 相关标准规范。3、精通Cisco，Huawei，H3C、硬负载等多种网络设备的配置，实际动手能力强。熟悉Linux系统工作原理和常见操作，熟悉或掌握常见脚本语言如linux shell、python、go等；4、良好的沟通和协调能力，具有团队合作精神；工作态度严谨、诚实，有高度的责任心；具有较强的学习能力，敢于迎接变化和挑战。,文娱丨内容,500-2000人,go,长沙
后端开发工程师,https://www.lagou.com/jobs/6817162.html,开福区,15k-25k,湖南快乐阳光互动娱乐传媒有限公司,3-5年,本科,国企上市公司，发展空间大,"职位描述：会员通用服务、营销、增值产品的技术设计、开发和维护岗位要求：1.最少精通Python/Go/Java一种语言，熟悉Python, 掌握常见场景设计如缓存、高并发、高可用、高负载等；2.熟悉http协议，熟悉常见的Python web框架，包括但不限于Django、Tornado、aiohttp等；3.熟悉MySQL、RabbitMQ、Redis、Nginx，有一定的SQL调优经验；4.责任心强，工作主动，善于思考总结，深入业务，抽象业务；5.良好的代码习惯，结构清晰，命名规范，逻辑性强，有交易、活动系统相关经验者佳；6.有一定的前端开发经验者佳，如掌握nodejs，vue等。",文娱丨内容,500-2000人,go,长沙
前端开发工程师,https://www.lagou.com/jobs/6545034.html,岳麓区,7k-12k,上海理想信息产业（集团）有限公司,3-5年,大专,五险一金 领导nice 电信项目,工作内容：1. 参与web前端功能模块的需求分析；2. WEB前端框架的设计与实现；3. 各业务模块WEB前端代码开发；4. 根据ui设计界面开发前端代码，能够解决不同浏览器及不同版本的兼容性问题；5. 易用性与用户体验到持续改进；6. 配合后台工程师，完成前端与后台的接口设计；7. 对前端新技术进行调研和学习，掌握业内主流技术，保持公司前端开发技术的先进性。岗位要求1、本科及以上学历，计算机或相关专业，三年以上开发工作经验，有良好的代码编写习惯，要求结构清晰，命名规范，逻辑性强；2、精通JavaScript/CSS3/html5/node/es6技术；3、熟悉至少一门后端语言如php、java、go、python 等；4、精通vue.js，能够使用vue提供的服务和支持实现与后台的接口对接；精通vue生命周期、vue常用指令、vue自定义组件、vue常用方法和属性等相关技术支持要点；5、有Web前端性能优化经验，优化页面实现，加快加载速度及优化用户体验； 6、对用户体验、交互操作流程有深刻理解，能够深刻理解Web标准，在可用性、可访问性、浏览器兼容性等方面有实践经验；7、有独立工作的能力，具有较强沟通能力和团队合作的精神，有较强的事业心、责任感和质量意识，富有激情；具有一定的创新能力，压力承受与适应能力强；8、有angular开发经验者优先。,"金融,数据服务",150-500人,go,长沙
Linux容器技术开发工程师,https://www.lagou.com/jobs/6837712.html,开福区,15k-20k,天津麒麟信息技术有限公司,3-5年,本科,"五险一金,餐费补贴,通讯补贴",岗位职责：国产化平台上的容器云产品的适配和开发，主要是基于Kuberetnes容器云产品深度开发及Docker的开发和优化工作。任职要求：1、全日制本科及以上学历，计算机软件相关专业，英语四级及以上；2、1-3年相关工作经验，熟悉容器技术原理，生态系统，熟悉Kubernetes、Mesos、Swarm等容器管理系统； 3、具有Docker Kubernetes落地实践经验，熟悉Docker Kubernetes相关生态，有集成Docker落地经验者优先；4、精通Python或Go语言开发；5、熟悉Linux系统管理、熟练使用Linux下各种常用命令、能够熟练编写Shell脚本。,"移动互联网,信息安全",150-500人,go,长沙
区块链开发工程师,https://www.lagou.com/jobs/7011722.html,天心区,10k-15k,湖南融聚区块链科技有限公司,1-3年,本科,"我们是年轻、激情的团队, 看能力重贡献！",,其他,50-150人,go,长沙
高级devops技术专家/运维专家,https://www.lagou.com/jobs/7013440.html,岳麓区,30k-40k,健康力（北京）医疗科技有限公司,5-10年,不限,待遇优厚、独角兽公司,"岗位描述：1、负责部署系统的研发及自动化运维系统建设。2、制定工程规范并负责实施落地3、开发软件工程各环节需要使用的工具和服务岗位要求：1、5年以上软件开发经验，3年以上工程效率相关经验，熟悉软件工程相关理论和技术2、熟悉Go、Java、Python或C/C++编程语言至少两种，理解该语言以及相关的基础框架。3、熟悉分布式、缓存、RPC、消息中间件、MySQL存储至少一种。4、熟悉容器服务、K8S，熟悉云原生持续交付的体系架构，有大规模持续交付的经验背景。5、熟悉DevOps相关工具和技术，例如Git, Jenkins, Docker, K8S, Ansible, Chef, ELK, Artifactory, Maven 等6、有较强学习和沟通能力；有很强的动手能力和解决问题能力。7、熟悉云平台，有云计算背景优先。8、熟悉平台运维和应用运维，能够建设运维规范和运维平台。此岗位base地在湖南和深圳都可",医疗丨健康,150-500人,go,长沙
java高级开发工程师,https://www.lagou.com/jobs/7050625.html,岳麓区,8k-15k,湖南牧云网络科技有限公司,3-5年,本科,全勤奖 加班补贴,1.协助开发经理和产品经理，根据大概需求，快速细化业务需求和规划排期； 2.协助开发经理和产品经理，快速验证某一个概念的产品或技术的可行性； 3.根据业务需求，提出架构方案，快速设计、迭代、实现并交付稳健的软件产品； 4.持续完善单元和集成测试、改进CICD、提高产品交付质量 持续完善架构图、流程图等相关的技术文档； 5.协助开发或测试人员快速定位问题； 6.协助开发经理协调和带领研发人员 不断培养初中级工程师往更高的方向成长任职要求： 1.精通Java以及GO语言（5年以上开发经验）、设计模式、数据结构、算法； 2.精通前端Web开发（2年以上开发经验，至少2年Angular或React开发经验）； 3. 熟悉常用开源框架（Spring Boot Spring Cloud 缓存， API网管， Message Queue 服务发现）； 4. 熟悉常用MySQL数据库； 熟悉主流分布式架构; 5. 熟悉基于AWS上的基础服务构建应用; 熟悉TDD、CICD Secure SDLC; 6.熟悉Docker、 Kubernates; 7.熟悉Junit、Spock、Postman、KarmaJasmin等测试工具; 8.熟悉Git、Jira、Jenkins等工具; 热爱编程、乐于持续重构代码、积极主动、擅长规划； 9.善于沟通和团队合作，能读写英文； 10.善于沟通与团队合作、能读写英语文档； 11.计算机科学、数学或其他相关专业本科或以上学历； 12.有教育系统项目经验是加分项; 微信分享,软件开发,15-50人,go,长沙
Java开发工程师,https://www.lagou.com/jobs/6733626.html,岳麓区,9k-14k,北京中电兴发科技有限公司,3-5年,本科,14薪,"岗位职责：1.负责Linux应用服务器软件、中间件、服务的开发和维护；2.参与需求分析，根据项目安排和模块划分，进行代码编写、测试和发布；3.按要求撰写需求说明书、设计说明书、测试大纲等技术文档，参与方案、设计等相关评审；任职资格：1.计算机、自动化、通信等相关专业，本科及以上学历，英语四级以上；2.精通C/C++编程，熟悉Linux，了解Windows环境下的应用程序开发；3.熟练掌握Java、C#、Go等语言其中的一种；4.对数据结构、操作系统、网络原理，有较为深入的理解；5.熟悉对计算机外设编程，熟悉操作系统进程管理、线程管理；6.具有良好的沟通能力、理解能力及团队协作精神，工作责任心强；6.有内存数据库开发、海量数据查询优化经验者优先。","信息安全,硬件",150-500人,go,长沙
